characterId,character,poseId,pose,clothingId,clothing,restraintId,restraint,stateId,state,relativePath
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","neutral","Нейтральное состояние","public/character-images/rendered/mira/standing__nude__none__neutral.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","receptive","Положительная реакция","public/character-images/rendered/mira/standing__nude__none__receptive.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","guarded","Настороженность","public/character-images/rendered/mira/standing__nude__none__guarded.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","high_positive","Высокое положительное напряжение","public/character-images/rendered/mira/standing__nude__none__high_positive.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","high_negative","Высокое отрицательное напряжение","public/character-images/rendered/mira/standing__nude__none__high_negative.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","subspace","Сабспейс","public/character-images/rendered/mira/standing__nude__none__subspace.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","climax","Разрядка","public/character-images/rendered/mira/standing__nude__none__climax.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","none","Без фиксации","unconscious","Без сознания","public/character-images/rendered/mira/standing__nude__none__unconscious.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","neutral","Нейтральное состояние","public/character-images/rendered/mira/standing__nude__handcuffs__neutral.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","receptive","Положительная реакция","public/character-images/rendered/mira/standing__nude__handcuffs__receptive.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","guarded","Настороженность","public/character-images/rendered/mira/standing__nude__handcuffs__guarded.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","high_positive","Высокое положительное напряжение","public/character-images/rendered/mira/standing__nude__handcuffs__high_positive.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","high_negative","Высокое отрицательное напряжение","public/character-images/rendered/mira/standing__nude__handcuffs__high_negative.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","subspace","Сабспейс","public/character-images/rendered/mira/standing__nude__handcuffs__subspace.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","climax","Разрядка","public/character-images/rendered/mira/standing__nude__handcuffs__climax.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","handcuffs","Наручники","unconscious","Без сознания","public/character-images/rendered/mira/standing__nude__handcuffs__unconscious.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","ankle_cuffs","Ножные манжеты","neutral","Нейтральное состояние","public/character-images/rendered/mira/standing__nude__ankle_cuffs__neutral.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","ankle_cuffs","Ножные манжеты","receptive","Положительная реакция","public/character-images/rendered/mira/standing__nude__ankle_cuffs__receptive.png"
"S-AV-01","Мира","standing","Стоя","nude","Без одежды","ankle_cuffs","Ножные манжеты","guarded","Настороженность","public/character-images/rendered/mira/standing__nude__ankle_cuffs__guarded.png"
