characterId,character,family,variant,wardrobe,restraint,affect,phase,optional,relativePath
"S-AV-01","Мира","vibration","handheld","nude","free","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__free__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","nude","wrists","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__wrists__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","underwear","free","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__free__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","underwear","wrists","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__wrists__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","stockings","free","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__free__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","stockings","wrists","guarded","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__wrists__guarded__sustain.png"
"S-AV-01","Мира","vibration","handheld","nude","free","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__free__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","nude","wrists","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__wrists__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","underwear","free","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__free__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","underwear","wrists","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__wrists__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","stockings","free","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__free__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","stockings","wrists","receptive","sustain","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__wrists__receptive__sustain.png"
"S-AV-01","Мира","vibration","handheld","nude","free","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__free__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","nude","wrists","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__wrists__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","free","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__free__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","wrists","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__wrists__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","stockings","free","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__free__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","stockings","wrists","high_positive","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__wrists__high_positive__intense.png"
"S-AV-01","Мира","vibration","handheld","nude","free","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__free__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","nude","wrists","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__wrists__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","free","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__free__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","wrists","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__wrists__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","stockings","free","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__free__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","stockings","wrists","high_negative","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__wrists__high_negative__intense.png"
"S-AV-01","Мира","vibration","handheld","nude","free","subspace","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__free__subspace__intense.png"
"S-AV-01","Мира","vibration","handheld","nude","wrists","subspace","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/nude__wrists__subspace__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","free","subspace","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__free__subspace__intense.png"
"S-AV-01","Мира","vibration","handheld","underwear","wrists","subspace","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/underwear__wrists__subspace__intense.png"
"S-AV-01","Мира","vibration","handheld","stockings","free","subspace","intense","false","public/character-images/interactions-expanded/mira/vibration/handheld/stockings__free__subspace__intense.png"
