matrix,priority,characterId,character,characterSlug,pose,family,variant,device,configuration,clothing,equipmentPreset,affect,phase,status,targetAsset,targetFile,exactLegacyAsset,legacyCandidate,optional
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__neutral.png","/character-images/rendered/mira/standing__nude__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__receptive.png","/character-images/rendered/mira/standing__nude__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__guarded.png","/character-images/rendered/mira/standing__nude__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__high_positive.png","/character-images/rendered/mira/standing__nude__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__high_negative.png","/character-images/rendered/mira/standing__nude__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__subspace.png","/character-images/rendered/mira/standing__nude__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__climax.png","/character-images/rendered/mira/standing__nude__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","nude","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/nude__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/nude__none__unconscious.png","/character-images/rendered/mira/standing__nude__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__neutral.png","/character-images/rendered/mira/standing__underwear__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__receptive.png","/character-images/rendered/mira/standing__underwear__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__guarded.png","/character-images/rendered/mira/standing__underwear__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__high_positive.png","/character-images/rendered/mira/standing__underwear__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__high_negative.png","/character-images/rendered/mira/standing__underwear__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__subspace.png","/character-images/rendered/mira/standing__underwear__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__climax.png","/character-images/rendered/mira/standing__underwear__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","underwear","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/underwear__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/underwear__none__unconscious.png","/character-images/rendered/mira/standing__underwear__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__neutral.png","/character-images/rendered/mira/standing__dress__none__neutral.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","receptive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__receptive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__receptive.png","/character-images/rendered/mira/standing__dress__none__receptive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","guarded","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__guarded.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__guarded.png","/character-images/rendered/mira/standing__dress__none__guarded.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","high_positive","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__high_positive.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__high_positive.png","/character-images/rendered/mira/standing__dress__none__high_positive.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","high_negative","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__high_negative.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__high_negative.png","/character-images/rendered/mira/standing__dress__none__high_negative.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","subspace","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__subspace.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__subspace.png","/character-images/rendered/mira/standing__dress__none__subspace.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","climax","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__climax.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__climax.png","/character-images/rendered/mira/standing__dress__none__climax.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress","none","unconscious","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress__none__unconscious.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress__none__unconscious.png","/character-images/rendered/mira/standing__dress__none__unconscious.png","",""
"calibration-avatar","P0","S-AV-01","Мира","mira","standing","","","","","dress_stockings","none","neutral","","covered_by_exact_legacy","/character-images/calibration-v4/mira/standing/dress_stockings__none__neutral.png","/home/cyberkitty/Projects/cyberjack/cyberjack-v0.01/public/character-images/calibration-v4/mira/standing/dress_stockings__none__neutral.png","/character-images/rendered/mira/standing__dress_stockings__none__neutral.png","",""
